"","Field.ID","Season","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","ag3a_02_1","ag3a_02_2","ag3a_02_3","ag3a_03","ag3a_03_other","ag3a_04","ag3a_05","ag3a_06","ag3a_07","ag3a_08_1","ag3a_08_2","ag3a_09","ag3a_10","ag3a_10_other","ag3a_11","ag3a_11_other","ag3a_12","ag3a_13","ag3a_14","ag3a_14_other","ag3a_15","ag3a_16","ag3f_33_17","ag3a_18","ag3a_18b","ag3a_18b_other","ag3a_18c","ag3a_18c_other","ag3a_19","ag3a_20","ag3a_21","ag3a_22","ag3a_23","ag3a_24","ag3a_24_other","ag3a_25","ag3a_26","ag3a_27","ag3a_28","ag3a_29","ag3a_29_other","ag3a_30","ag3a_31","ag3a_32","ag3a_33","ag3a_34","ag3a_34_other","ag3a_35_1","ag3a_35_2","ag3a_61","ag3a_38_1","ag3a_38_2","ag3a_38_21","ag3a_38_3","ag3a_38_4","ag3a_38_5","ag3a_38_51","ag3a_38_6","ag3a_38_61","ag3a_38_62","ag3a_38_63","ag3a_38_64","ag3a_38_7","ag3a_38_8","ag3a_38_81","ag3a_38_9","fd33_18a_1","fd33_18a_2","fd33_18a_3","fd33_18a_4","fd33_18a_5","fd33_18a_6","fd33_18a_7","fd33_18a_8","fd35_24a_dap","fd35_24a_urea","fd35_24a_tsp","fd35_24a_can","fd35_24a_sa","fd35_24a_npk","fd35_24a_mrp","fd3b3_18a_1","fd3b3_18a_2","fd3b3_18a_3","fd3b3_18a_4","fd3b3_18a_5","fd3b3_18a_6","fd3b3_18a_7","fd3b3_18a_8","fd3b5a_24a_dap","fd3b5a_24a_urea","fd3b5a_24a_tsp","fd3b5a_24a_can","fd3b5a_24a_sa","fd3b5a_24a_npk","fd3b5a_24a_mrp"
"11","M1","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","o1aKSCrDRMB","2015-04-27T00:00:00Z",3,0,3,1,NA,NA,"45",1,2,NA,NA,2,NA,NA,NA,NA,NA,10000,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","M2","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","YqAFB2BMNLB","2014-09-28T00:00:00Z",0.4,0.4,10,1,NA,NA,"94",1,2,NA,NA,2,NA,NA,NA,NA,NA,2000,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"NPK",NA,50,2,80,1,"SA",NA,150,2,240,1,"2",NA,2,2,18,NA,12,NA,120,NA,25,NA,450,NA,NA,NA,NA,40,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","M2","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","YqAFB2BMNLB","2014-09-28T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","M3","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","oGAiiS5KTH6","2014-09-30T00:00:00Z",0.25,0.25,10.25,1,NA,NA,"94",1,2,NA,NA,2,NA,NA,NA,NA,NA,1000,1,NA,11,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"NPK",NA,400,2,960,1,"SA",NA,400,2,800,1,"1",NA,22,2,300,NA,4,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","M4","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","GLaBCfmRHT9","2014-12-15T00:00:00Z",6,0.1,10.5,1,NA,NA,"11",1,2,NA,NA,2,NA,NA,NA,NA,NA,10000,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"SA",NA,150,2,168,2,"",NA,NA,NA,NA,1,"2",NA,4,2,60,30,15,NA,385,NA,100,NA,200,NA,NA,NA,NA,42,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","M7","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","M2","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-15T00:00:00Z",1,1,2.7,1,NA,NA,"21",1,2,NA,NA,2,NA,NA,NA,NA,NA,5210,4,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"NPK",NA,0.5,2,30,2,"",NA,NA,NA,NA,1,"2",NA,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","M1","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","CxMdVRz4Fo","2014-08-21T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,0,0,8,0,24,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","M2","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","AZbZLMWXXU5","2014-09-03T00:00:00Z",3.5,1.5,2.5,1,NA,NA,"45",1,1,7,NA,2,NA,NA,NA,NA,NA,10000,4,NA,NA,5,1,1,2,NA,NA,NA,200,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"2",NA,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","M3","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","UDYnaavH8U3","2015-02-17T00:00:00Z",1,NA,4,1,NA,NA,"12",2,2,NA,NA,2,NA,NA,NA,NA,NA,5,2,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"SA",NA,25,2,50,1,"SA",NA,25,2,40,1,"2",NA,1,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","M1","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6o1LRkbmmy9","2015-05-21T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","M2","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","M3","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","M1","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","zbPhVbZ2hNA","2014-08-13T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","M5","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","LeYiNjAjKi2","2014-09-09T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"2",NA,2,2,20,2,NA,NA,80,NA,2,NA,80,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","M2","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","1YyZC8Zyxy7","2014-09-24T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"NPK",NA,50,1,85,2,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,70,NA,1,NA,15,NA,6,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","M4","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6rFDY18oMR9","2015-05-27T00:00:00Z",8,1.5,8,1,NA,NA,"44",1,2,NA,NA,2,NA,NA,NA,NA,NA,7000,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","M1","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z",2,0.5,0.5,1,NA,NA,"76",1,2,NA,NA,2,NA,NA,NA,NA,NA,15000,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"1",NA,2,2,40,NA,NA,NA,NA,NA,10,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","M1","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","Ta22RrxG4KB","2014-09-10T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"2",NA,3,2,30,NA,10,NA,50,NA,NA,NA,NA,NA,4,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","M1","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","reM7upJxET6","2014-09-12T00:00:00Z",1.6,1.8,8.2,1,NA,NA,"21",1,1,NA,NA,2,NA,NA,NA,NA,NA,5100,3,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"1",NA,3,2,36,NA,20,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","M1","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wGsPM221dM8","2015-03-29T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","M1","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","rvasPDxnwj3","2015-02-27T00:00:00Z",6,9,9,1,NA,NA,"11",1,2,NA,NA,2,NA,NA,NA,NA,NA,8800,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"2",NA,10,2,150,22,8,NA,150,NA,50,NA,250,NA,NA,NA,NA,13,18,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","M1","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","pdf1PrAkhV","2015-05-15T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","M1","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","eaQik5x8C35","2014-09-27T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
